fecha_desde,fecha_hasta,lugar,categoria,precio,fuente_pdf
01/7/2024,05/7/2024,DARIEN,VACA DE CARNE,2.16,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,VACA DE CARNE PARA CEBA,2.05,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,MEDIA CEBA CRUZADO DE LECHE,2.55,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,MEDIA CEBA DE CARNE,2.6,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,NOVILLA CRUZADA DE LECHE,2.15,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,NOVILLA DE CARNE,2.21,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,NOVILLO CRUZADO DE LECHE,2.45,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,NOVILLO DE CARNE,2.5,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,TERNERA CRUZADA DE LECHE,2.8,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,TORO CRUZADO DE LECHE,2.4,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,VACA CRUZADA DE LECHE,2.05,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,VACA CRUZADA DE LECHE PARA CEBA,1.81,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,VACA DE CARNE,2.16,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,TORTI,VACA DE CARNE PARA CEBA,2.05,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,MEDIA CEBA CRUZADO DE LECHE,2.43,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,MEDIA CEBA DE CARNE,2.63,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,NOVILLA CRUZADA DE LECHE,2.12,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,NOVILLA DE CARNE,2.28,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,NOVILLO CRUZADO DE LECHE,2.38,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,NOVILLO DE CARNE,2.48,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,TERNERA CRUZADA DE LECHE,2.35,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,TERNERA DE CARNE,2.34,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,TERNERO CRUZADO DE LECHE,2.4,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,TORO CRUZADO DE LECHE,2.47,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,VACA CRUZADA DE LECHE,2.08,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,VACA CRUZADA DE LECHE PARA CEBA,2.13,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,VACA DE CARNE,2.2,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,VERAGUAS,VACA DE CARNE PARA CEBA,2.15,del-01-7-24-al-05-7-24.pdf
02/02/2018,09/02/2018,AZUERO,MEDIA CEBA,2.18,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,NOVILLA,1.88,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,NOVILLO,2.08,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,TERNERA,1.75,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,TERNERO,2.35,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,TORO,2.1,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,VACA,1.75,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,AZUERO,VACA PARA CEBA,1.65,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,CHEPO,MEDIA CEBA,2.1,del-02-02-18-al-09-02-18.pdf
02/02/2018,09/02/2018,CHEPO,NOVILLA,1.8,del-02-02-18-al-09-02-18.pdf
